,Country,Confirmed,Deaths,Recovered,Active
153,Colombia,18815,700,17831.0,284.0
154,Colombia,24409,582,22524.0,1303.0
155,Colombia,36490,990,34451.0,1049.0
156,Colombia,73417,2007,69606.0,1804.0
157,Colombia,12791,316,12169.0,306.0
158,Colombia,69241,2705,64247.0,2289.0
159,Colombia,188243,4942,176914.0,6387.0
160,Colombia,1899,22,1841.0,36.0
161,Colombia,3546,60,3382.0,104.0
162,Colombia,63204,2166,59163.0,1875.0
163,Colombia,37707,1192,36057.0,458.0
164,Colombia,74450,2800,70179.0,1471.0
165,Colombia,59565,1390,56461.0,1714.0
166,Colombia,69364,2308,64616.0,2440.0
167,Colombia,66312,3235,61091.0,1986.0
168,Colombia,12576,530,11732.0,314.0
169,Colombia,45650,1374,43577.0,699.0
170,Colombia,67060,1661,63529.0,1870.0
171,Colombia,5982,116,5782.0,84.0
172,Colombia,157266,5132,145230.0,6904.0
173,Colombia,40754,1240,38196.0,1318.0
174,Colombia,80676,2615,76633.0,1428.0
175,Colombia,28519,264,1.0,28254.0
176,Colombia,289148,9167,273271.0,6710.0
177,Colombia,1620,14,1576.0,30.0
178,Colombia,2160,33,2051.0,76.0
179,Comoros,3899,146,3736.0,17.0
180,Congo (Brazzaville),12121,160,11211.0,750.0
181,Congo (Kinshasa),35228,834,27825.0,6569.0
182,Costa Rica,339900,4322,261195.0,74383.0
183,Cote d'Ivoire,47662,306,47178.0,178.0
184,Croatia,358563,8132,349244.0,1187.0
185,Cuba,157708,1087,149759.0,6862.0
186,Cyprus,73190,373,39061.0,33756.0
187,Czechia,1665097,30225,1629379.0,5493.0
188,Denmark,756,1,727.0,28.0
189,Denmark,44,0,40.0,4.0
190,Denmark,289874,2525,278256.0,9093.0
191,Diamond Princess,712,13,699.0,0.0
192,Djibouti,11572,154,11401.0,17.0
193,Dominica,189,0,188.0,1.0
194,Dominican Republic,308650,3707,251689.0,53254.0
195,Ecuador,438934,21048,398645.0,19241.0
196,Egypt,273182,15623,201038.0,56521.0
197,El Salvador,75351,2295,70150.0,2906.0
198,Equatorial Guinea,8650,120,8413.0,117.0
199,Eritrea,4848,16,4278.0,554.0
200,Estonia,130510,1266,125753.0,3491.0
201,Eswatini,18736,676,17949.0,111.0
202,Ethiopia,274187,4242,250664.0,19281.0
203,Fiji,1118,4,312.0,802.0
204,Finland,93821,964,46000.0,46857.0
205,France,25506,133,9995.0,15378.0
206,France,18930,142,18749.0,39.0
207,France,17288,265,2250.0,14773.0
208,France,12130,99,98.0,11933.0
209,France,19373,173,2964.0,16236.0
210,France,128,0,58.0,70.0
211,France,27235,212,25088.0,1935.0
212,France,1005,1,462.0,542.0
213,France,25,0,25.0,0.0
214,France,2040,12,1399.0,629.0
215,France,445,7,438.0,0.0
216,France,5678209,109509,337668.0,5231032.0
217,Gabon,24736,156,23741.0,839.0
218,Gambia,6008,180,5813.0,15.0
219,Georgia,353965,5048,339392.0,9525.0
220,Germany,498250,10076,481400.0,6774.0
221,Germany,645161,15100,623800.0,6261.0
222,Germany,179693,3517,174900.0,1276.0
223,Germany,108654,3756,104000.0,898.0
224,Germany,27345,478,26540.0,327.0
225,Germany,76885,1580,74100.0,1205.0
226,Germany,289516,7436,277000.0,5080.0
227,Germany,44071,1145,42800.0,126.0
228,Germany,260235,5701,252800.0,1734.0
229,Germany,813347,16983,784100.0,12264.0
230,Germany,154492,3783,149100.0,1609.0
231,Germany,41268,1017,39800.0,451.0
232,Germany,285449,9974,271900.0,3575.0
233,Germany,99123,3403,94400.0,1320.0
234,Germany,63638,1614,61300.0,724.0
235,Germany,128489,4286,123400.0,803.0
236,Germany,7679,0,0.0,7679.0
237,Ghana,94493,789,92589.0,1115.0
238,Greece,414933,12419,93764.0,308750.0
239,Grenada,161,1,160.0,0.0
240,Guatemala,271703,8455,246426.0,16822.0
241,Guinea,23398,167,21488.0,1743.0
242,Guinea-Bissau,3803,69,3548.0,186.0
243,Guyana,18386,426,16280.0,1680.0
244,Haiti,16079,346,12560.0,3173.0
245,Holy See,27,0,27.0,0.0
246,Honduras,247728,6631,88164.0,152933.0
247,Hungary,806790,29904,724614.0,52272.0
248,Iceland,6555,29,6476.0,50.0
249,India,7261,126,7025.0,110.0
250,India,1809844,11940,1712267.0,85637.0
251,India,31282,145,28252.0,2885.0
252,India,459497,3951,414173.0,41373.0
253,India,717215,9492,702411.0,5312.0
254,India,61110,792,59798.0,520.0
255,India,986963,13317,959969.0,13677.0
256,India,10463,4,10381.0,78.0
257,India,1431139,24823,1402850.0,3466.0
258,India,162468,2928,154658.0,4882.0
259,India,820321,9997,800075.0,10249.0
260,India,765861,8992,752208.0,4661.0
261,India,198550,3391,190382.0,4777.0
262,India,307412,4186,288145.0,15081.0
263,India,343458,5084,334979.0,3395.0
264,India,2765134,32913,2551365.0,180856.0
265,India,2728239,11181,2593625.0,123433.0
266,India,19561,197,18706.0,658.0
267,India,9209,44,8589.0,576.0
268,India,788183,8552,775380.0,4251.0
269,India,5908992,111104,5639271.0,158617.0
270,India,59852,974,50379.0,8499.0
271,India,41906,733,36550.0,4623.0
272,India,15364,67,11748.0,3549.0
273,India,23644,453,19689.0,3502.0
274,India,851782,3302,796799.0,51681.0
275,India,112528,1684,105513.0,5331.0
276,India,587903,15562,559360.0,12981.0
277,India,949684,8822,933421.0,7441.0
